datetime,Kp,status
15-03-2023 15:00,2,def
15-03-2023 18:00,2,def
15-03-2023 21:00,5.667,def
16-03-2023 00:00,3.667,def
16-03-2023 03:00,2.333,def
16-03-2023 06:00,0.667,def
16-03-2023 09:00,1,def
16-03-2023 12:00,0,def
16-03-2023 15:00,0.333,def
16-03-2023 18:00,0.667,def
16-03-2023 21:00,0.333,def
17-03-2023 00:00,0.333,def
17-03-2023 03:00,1.333,def
17-03-2023 06:00,1.667,def
17-03-2023 09:00,2.333,def
17-03-2023 12:00,2.333,def
17-03-2023 15:00,0.667,def
17-03-2023 18:00,0.333,def
17-03-2023 21:00,2,def
18-03-2023 00:00,2,def
18-03-2023 03:00,2.667,def
18-03-2023 06:00,2,def
18-03-2023 09:00,2.333,def
18-03-2023 12:00,2.333,def
18-03-2023 15:00,1.333,def
18-03-2023 18:00,2.333,def
18-03-2023 21:00,1.333,def
19-03-2023 00:00,1.667,def
19-03-2023 03:00,2.667,def
19-03-2023 06:00,2,def
19-03-2023 09:00,1.333,def
19-03-2023 12:00,1.667,def
19-03-2023 15:00,2.333,def
19-03-2023 18:00,3.333,def
19-03-2023 21:00,1.667,def
20-03-2023 00:00,3,def
20-03-2023 03:00,0.333,def
20-03-2023 06:00,0.333,def
20-03-2023 09:00,2,def
20-03-2023 12:00,3.667,def
20-03-2023 15:00,4,def
20-03-2023 18:00,1.333,def
20-03-2023 21:00,2.333,def
21-03-2023 00:00,2.333,def
21-03-2023 03:00,1,def
21-03-2023 06:00,1.667,def
21-03-2023 09:00,2,def
21-03-2023 12:00,1,def
21-03-2023 15:00,2.333,def
21-03-2023 18:00,1.333,def
21-03-2023 21:00,2,def
22-03-2023 00:00,3.667,def
22-03-2023 03:00,3.667,def
22-03-2023 06:00,3,def
22-03-2023 09:00,3.333,def
22-03-2023 12:00,2.333,def
22-03-2023 15:00,3,def
22-03-2023 18:00,3.333,def
22-03-2023 21:00,0.333,def
23-03-2023 00:00,0.667,def
23-03-2023 03:00,1.667,def
23-03-2023 06:00,3,def
23-03-2023 09:00,4.667,def
23-03-2023 12:00,6.667,def
23-03-2023 15:00,4.667,def
23-03-2023 18:00,6.333,def
23-03-2023 21:00,7,def
24-03-2023 00:00,7.333,def
24-03-2023 03:00,8,def
24-03-2023 06:00,6.333,def
24-03-2023 09:00,4,def
24-03-2023 12:00,2.333,def
24-03-2023 15:00,3.667,def
24-03-2023 18:00,4.667,def
24-03-2023 21:00,4.333,def
25-03-2023 00:00,3,def
25-03-2023 03:00,2,def
25-03-2023 06:00,3.667,def
25-03-2023 09:00,3.667,def
25-03-2023 12:00,2.667,def
25-03-2023 15:00,2.333,def
25-03-2023 18:00,2.667,def
25-03-2023 21:00,2.333,def
26-03-2023 00:00,2.667,def
26-03-2023 03:00,2.667,def
26-03-2023 06:00,1.667,def
26-03-2023 09:00,0.667,def
26-03-2023 12:00,0.667,def
26-03-2023 15:00,1,def
26-03-2023 18:00,2.667,def
26-03-2023 21:00,1.667,def
27-03-2023 00:00,0.333,def
27-03-2023 03:00,0.333,def
27-03-2023 06:00,0.333,def
27-03-2023 09:00,0.333,def
27-03-2023 12:00,0.333,def
27-03-2023 15:00,0.667,def
27-03-2023 18:00,1,def
27-03-2023 21:00,1,def
28-03-2023 00:00,1.333,def
28-03-2023 03:00,0.333,def
28-03-2023 06:00,0.333,def
28-03-2023 09:00,0.667,def
28-03-2023 12:00,1.667,def
28-03-2023 15:00,1,def
28-03-2023 18:00,0.667,def
28-03-2023 21:00,1,def
29-03-2023 00:00,2,def
29-03-2023 03:00,0.667,def
29-03-2023 06:00,0.667,def
29-03-2023 09:00,0.667,def
29-03-2023 12:00,1.667,def
29-03-2023 15:00,1.333,def
29-03-2023 18:00,1.333,def
29-03-2023 21:00,1.667,def
30-03-2023 00:00,3,def
30-03-2023 03:00,2.333,def
30-03-2023 06:00,2.333,def
30-03-2023 09:00,3,def
30-03-2023 12:00,2.667,def
30-03-2023 15:00,3.667,def
30-03-2023 18:00,5,def
30-03-2023 21:00,2.667,def
31-03-2023 00:00,4,def
31-03-2023 03:00,4.333,def
31-03-2023 06:00,3.333,def
31-03-2023 09:00,3.333,def
31-03-2023 12:00,2.333,def
31-03-2023 15:00,2.333,def
31-03-2023 18:00,3,def
31-03-2023 21:00,4,def
01-04-2023 00:00,2,def
01-04-2023 03:00,1,def
01-04-2023 06:00,1.667,def
01-04-2023 09:00,3.333,def
01-04-2023 12:00,3.333,def
01-04-2023 15:00,3.667,def
01-04-2023 18:00,2.667,def
01-04-2023 21:00,3.667,def
02-04-2023 00:00,3.667,def
02-04-2023 03:00,3.667,def
02-04-2023 06:00,2.667,def
02-04-2023 09:00,3.333,def
02-04-2023 12:00,2.333,def
02-04-2023 15:00,0.667,def
02-04-2023 18:00,2,def
02-04-2023 21:00,3.333,def
03-04-2023 00:00,3.333,def
03-04-2023 03:00,1.333,def
03-04-2023 06:00,1.333,def
03-04-2023 09:00,1.667,def
03-04-2023 12:00,2.667,def
03-04-2023 15:00,3,def
03-04-2023 18:00,3.667,def
03-04-2023 21:00,3,def
04-04-2023 00:00,3.667,def
04-04-2023 03:00,3.667,def
04-04-2023 06:00,2.333,def
04-04-2023 09:00,2.333,def
04-04-2023 12:00,2,def
04-04-2023 15:00,1.333,def
04-04-2023 18:00,2.667,def
04-04-2023 21:00,3,def
05-04-2023 00:00,3,def
05-04-2023 03:00,2,def
05-04-2023 06:00,1.667,def
05-04-2023 09:00,2,def
05-04-2023 12:00,3,def
05-04-2023 15:00,3.333,def
05-04-2023 18:00,2.667,def
05-04-2023 21:00,2,def
06-04-2023 00:00,1.333,def
06-04-2023 03:00,1.333,def
06-04-2023 06:00,1,def
06-04-2023 09:00,2.333,def
06-04-2023 12:00,2,def
06-04-2023 15:00,1,def
06-04-2023 18:00,3,def
06-04-2023 21:00,2,def
07-04-2023 00:00,3,def
07-04-2023 03:00,2.667,def
07-04-2023 06:00,1.667,def
07-04-2023 09:00,1.667,def
07-04-2023 12:00,1.667,def
07-04-2023 15:00,1,def
07-04-2023 18:00,1.333,def
07-04-2023 21:00,2,def
08-04-2023 00:00,1,def
08-04-2023 03:00,2,def
08-04-2023 06:00,1.667,def
08-04-2023 09:00,1,def
08-04-2023 12:00,0.667,def
08-04-2023 15:00,1.333,def
08-04-2023 18:00,0.333,def
08-04-2023 21:00,2,def
09-04-2023 00:00,3,def
09-04-2023 03:00,1,def
09-04-2023 06:00,0.667,def
09-04-2023 09:00,1,def
09-04-2023 12:00,1,def
09-04-2023 15:00,1.333,def
09-04-2023 18:00,1.333,def
09-04-2023 21:00,2,def
10-04-2023 00:00,2.667,def
10-04-2023 03:00,3.333,def
10-04-2023 06:00,3.333,def
10-04-2023 09:00,3,def
10-04-2023 12:00,2.667,def
10-04-2023 15:00,2.667,def
10-04-2023 18:00,1.333,def
10-04-2023 21:00,1.333,def
11-04-2023 00:00,0.333,def
11-04-2023 03:00,1,def
11-04-2023 06:00,2.333,def
11-04-2023 09:00,0.667,def
11-04-2023 12:00,1,def
11-04-2023 15:00,1.333,def
11-04-2023 18:00,1.667,def
11-04-2023 21:00,0.333,def
12-04-2023 00:00,0,def
12-04-2023 03:00,0,def
12-04-2023 06:00,1,def
12-04-2023 09:00,0.333,def
12-04-2023 12:00,1.333,def
12-04-2023 15:00,1,def
12-04-2023 18:00,0.333,def
12-04-2023 21:00,1,def
13-04-2023 00:00,2.333,def
13-04-2023 03:00,1.667,def
13-04-2023 06:00,0.333,def
13-04-2023 09:00,0.333,def
13-04-2023 12:00,0.667,def
13-04-2023 15:00,2,def
13-04-2023 18:00,1.667,def
13-04-2023 21:00,2,def
14-04-2023 00:00,1.333,def
14-04-2023 03:00,0,def
14-04-2023 06:00,1.333,def
14-04-2023 09:00,2,def
14-04-2023 12:00,2.333,def
14-04-2023 15:00,2,def
14-04-2023 18:00,0.667,def
14-04-2023 21:00,2,def
15-04-2023 00:00,2.333,def
15-04-2023 03:00,1.333,def
15-04-2023 06:00,2.333,def
15-04-2023 09:00,1.667,def
15-04-2023 12:00,2,def
15-04-2023 15:00,1.667,def
15-04-2023 18:00,1.333,def
15-04-2023 21:00,2,def
16-04-2023 00:00,0.667,def
16-04-2023 03:00,0.667,def
16-04-2023 06:00,1.667,def
16-04-2023 09:00,1,def
16-04-2023 12:00,1,def
16-04-2023 15:00,0.333,def
16-04-2023 18:00,1,def
16-04-2023 21:00,1,def
17-04-2023 00:00,1.333,def
17-04-2023 03:00,1,def
17-04-2023 06:00,1.333,def
17-04-2023 09:00,1.333,def
17-04-2023 12:00,1,def
17-04-2023 15:00,1.667,def
17-04-2023 18:00,0.333,def
